defect,count,min_N,example_seed,mcc_live_count,min_live_N,min_live_seed
17,2,52,"N=52 (p,q,r,s)=(24,45,28,7)",0,,
730,2,867,"N=867 (p,q,r,s)=(416,780,451,87)",2,867,"N=867 (p,q,r,s)=(416,780,451,87)"
5617,2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)",2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)"
5713,2,996,"N=996 (p,q,r,s)=(520,765,476,231)",2,996,"N=996 (p,q,r,s)=(520,765,476,231)"
10193,2,700,"N=700 (p,q,r,s)=(297,396,403,304)",0,,
11698,2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)",2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)"
11986,2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)",2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)"
12017,2,44944,"N=44944 (p,q,r,s)=(4365,42228,40579,2716)",0,,
14177,2,3364,"N=3364 (p,q,r,s)=(900,945,2464,2419)",0,,
18922,2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)",2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)"
24634,2,195,"N=195 (p,q,r,s)=(48,140,147,55)",2,195,"N=195 (p,q,r,s)=(48,140,147,55)"
35722,2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)",2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)"
51137,2,22472,"N=22472 (p,q,r,s)=(13260,14805,9212,7667)",0,,
60314,2,21125,"N=21125 (p,q,r,s)=(7524,12768,13601,8357)",0,,
69386,2,21125,"N=21125 (p,q,r,s)=(4416,17388,16709,3737)",0,,
151505,2,10952,"N=10952 (p,q,r,s)=(396,1155,10556,9797)",0,,
235418,2,21853,"N=21853 (p,q,r,s)=(5040,11220,16813,10633)",0,,
239857,2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)",2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)"
379738,2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)",2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)"
506417,2,11492,"N=11492 (p,q,r,s)=(3135,7524,8357,3968)",0,,
507809,2,740,"N=740 (p,q,r,s)=(168,315,572,425)",0,,
871690,2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)",2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)"
1432817,2,26588,"N=26588 (p,q,r,s)=(8856,16605,17732,9983)",0,,
1517266,2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)",2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)"
2202481,2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)",2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)"
2565721,2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)",2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)"
3771226,2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)",2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)"
4521217,2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)",2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)"
6844114,2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)",2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)"
7110353,2,77500,"N=77500 (p,q,r,s)=(15477,53064,62023,24436)",0,,
12683378,2,60401,"N=60401 (p,q,r,s)=(12480,23400,47921,37001)",0,,
26085121,2,34500,"N=34500 (p,q,r,s)=(10153,26796,24347,7704)",2,34500,"N=34500 (p,q,r,s)=(10153,26796,24347,7704)"
26423905,2,90168,"N=90168 (p,q,r,s)=(2920,85239,87248,4929)",2,90168,"N=90168 (p,q,r,s)=(2920,85239,87248,4929)"
29059546,2,40365,"N=40365 (p,q,r,s)=(2740,37488,37625,2877)",2,40365,"N=40365 (p,q,r,s)=(2740,37488,37625,2877)"
40555441,2,6240,"N=6240 (p,q,r,s)=(711,3080,5529,3160)",2,6240,"N=6240 (p,q,r,s)=(711,3080,5529,3160)"
53197258,2,11997,"N=11997 (p,q,r,s)=(4704,11900,7293,97)",2,11997,"N=11997 (p,q,r,s)=(4704,11900,7293,97)"
55141697,2,43700,"N=43700 (p,q,r,s)=(7524,35343,36176,8357)",0,,
60608353,2,11352,"N=11352 (p,q,r,s)=(4935,6944,6417,4408)",2,11352,"N=11352 (p,q,r,s)=(4935,6944,6417,4408)"
68463994,2,9165,"N=9165 (p,q,r,s)=(1540,5952,7625,3213)",2,9165,"N=9165 (p,q,r,s)=(1540,5952,7625,3213)"
72781921,2,49500,"N=49500 (p,q,r,s)=(6844,49383,42656,117)",2,49500,"N=49500 (p,q,r,s)=(6844,49383,42656,117)"
76089394,2,20415,"N=20415 (p,q,r,s)=(11928,18400,8487,2015)",2,20415,"N=20415 (p,q,r,s)=(11928,18400,8487,2015)"
78452138,2,67811,"N=67811 (p,q,r,s)=(23760,24180,44051,43631)",0,,
110734754,2,10879,"N=10879 (p,q,r,s)=(1152,6864,9727,4015)",0,,
165755377,2,11184,"N=11184 (p,q,r,s)=(880,3465,10304,7719)",2,11184,"N=11184 (p,q,r,s)=(880,3465,10304,7719)"
177194417,2,13156,"N=13156 (p,q,r,s)=(1440,6837,11716,6319)",0,,
206726986,2,14355,"N=14355 (p,q,r,s)=(1440,8036,12915,6319)",2,14355,"N=14355 (p,q,r,s)=(1440,8036,12915,6319)"
227386930,2,30303,"N=30303 (p,q,r,s)=(15640,26784,14663,3519)",2,30303,"N=30303 (p,q,r,s)=(15640,26784,14663,3519)"
279885889,2,40680,"N=40680 (p,q,r,s)=(25575,33488,15105,7192)",2,40680,"N=40680 (p,q,r,s)=(25575,33488,15105,7192)"
283622609,2,21320,"N=21320 (p,q,r,s)=(7992,11025,13328,10295)",0,,
304823969,2,45976,"N=45976 (p,q,r,s)=(30888,37191,15088,8785)",0,,
321472561,2,20988,"N=20988 (p,q,r,s)=(8008,8619,12980,12369)",2,20988,"N=20988 (p,q,r,s)=(8008,8619,12980,12369)"
345302282,2,23069,"N=23069 (p,q,r,s)=(4560,21420,18509,1649)",0,,
382121681,2,28168,"N=28168 (p,q,r,s)=(9009,24288,19159,3880)",0,,
526910129,2,26180,"N=26180 (p,q,r,s)=(3285,24528,22895,1652)",0,,
678265226,2,31955,"N=31955 (p,q,r,s)=(7956,21840,23999,10115)",0,,
