delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
13/6,3/4,C_sample,all,24/7,4,15/8,45/28,17,1,1,17,7/52,6/13,52,7,24,45,28,0,0,False,True,False,False,45,3/20,near_miss:x^2+(1-y)^2
13/6,-4/3,C_sample,all,24/7,4,15/8,45/28,17,1,1,17,7/52,6/13,52,7,24,45,28,0,0,False,True,False,False,45,29/15,near_miss:x^2+(1-y)^2
289/260,15/26,C_sample,all,780/451,87/451,8/15,416/87,730,1,1,730,451/867,260/289,867,451,780,416,87,-1,1,True,True,False,False,780,3/130,near_miss:x^2+(1-y)^2
867/416,13/16,C_sample,all,416/87,451/87,15/8,780/451,730,1,1,730,29/289,416/867,867,87,416,780,451,0,-1,True,True,False,False,780,17/80,near_miss:x^2+(1-y)^2
289/29,3/29,B_sample,all,87/416,15/8,451/87,451/780,1,730,1,730,416/867,29/289,867,416,87,451,780,-1,1,True,True,False,False,780,72/145,near_miss:(1-x)^2+y^2
867/416,-16/13,C_sample,all,416/87,451/87,15/8,780/451,730,1,1,730,29/289,416/867,867,87,416,780,451,0,-1,True,True,False,False,780,119/65,near_miss:x^2+(1-y)^2
289/260,-26/15,C_sample,all,780/451,87/451,8/15,416/87,730,1,1,730,451/867,260/289,867,451,780,416,87,-1,1,True,True,False,False,780,7/3,near_miss:x^2+(1-y)^2
289/29,-29/3,B_sample,all,87/416,15/8,451/87,451/780,1,730,1,730,416/867,29/289,867,416,87,451,780,-1,1,True,True,False,False,780,154/15,near_miss:(1-x)^2+y^2
332/255,5/9,C_sample,all,45/28,33/68,104/153,520/231,5713,1,1,5713,119/249,255/332,996,476,765,520,231,-1,0,True,True,False,False,520,2/45,near_miss:x^2+(1-y)^2
249/130,13/20,C_sample,all,520/231,68/33,153/104,45/28,5713,1,1,5713,77/332,130/249,996,231,520,765,476,0,-1,True,True,False,False,520,1/20,near_miss:x^2+(1-y)^2
249/119,2/7,B_sample,all,28/45,104/153,33/68,231/520,1,5713,1,5713,255/332,119/249,996,765,476,231,520,1,-1,True,True,False,False,520,11/35,near_miss:(1-x)^2+y^2
249/130,-20/13,C_sample,all,520/231,68/33,153/104,45/28,5713,1,1,5713,77/332,130/249,996,231,520,765,476,0,-1,True,True,False,False,520,139/65,near_miss:x^2+(1-y)^2
332/255,-9/5,C_sample,all,45/28,33/68,104/153,520/231,5713,1,1,5713,119/249,255/332,996,476,765,520,231,-1,0,True,True,False,False,520,12/5,near_miss:x^2+(1-y)^2
249/119,-7/2,B_sample,all,28/45,104/153,33/68,231/520,1,5713,1,5713,255/332,119/249,996,765,476,231,520,1,-1,True,True,False,False,520,41/10,near_miss:(1-x)^2+y^2
3125/2632,3/4,C_sample,all,24/7,1479/2303,884/987,416/87,11986,1,1,11986,2303/9375,2632/3125,9375,2303,7896,7072,1479,-1,1,True,True,False,False,2303,3/20,near_miss:x^2+(1-y)^2
9375/7072,13/16,C_sample,all,416/87,2303/1479,987/884,24/7,11986,1,1,11986,493/3125,7072/9375,9375,1479,7072,7896,2303,0,-1,True,True,False,False,2303,17/80,near_miss:x^2+(1-y)^2
9375/2303,1/7,B_sample,all,7/24,884/987,1479/2303,87/416,1,11986,1,11986,2632/3125,2303/9375,9375,7896,2303,1479,7072,0,-1,True,True,False,False,2303,16/35,near_miss:(1-x)^2+y^2
3125/493,3/29,B_sample,all,87/416,987/884,2303/1479,7/24,1,11986,1,11986,7072/9375,493/3125,9375,7072,1479,2303,7896,-1,1,True,True,False,False,2303,72/145,near_miss:(1-x)^2+y^2
9375/7072,-16/13,C_sample,all,416/87,2303/1479,987/884,24/7,11986,1,1,11986,493/3125,7072/9375,9375,1479,7072,7896,2303,0,-1,True,True,False,False,2303,119/65,near_miss:x^2+(1-y)^2
3125/2632,-4/3,C_sample,all,24/7,1479/2303,884/987,416/87,11986,1,1,11986,2303/9375,2632/3125,9375,2303,7896,7072,1479,-1,1,True,True,False,False,2303,29/15,near_miss:x^2+(1-y)^2
9375/2303,-7,B_sample,all,7/24,884/987,1479/2303,87/416,1,11986,1,11986,2632/3125,2303/9375,9375,7896,2303,1479,7072,0,-1,True,True,False,False,2303,38/5,near_miss:(1-x)^2+y^2
3125/493,-29/3,B_sample,all,87/416,987/884,2303/1479,7/24,1,11986,1,11986,7072/9375,493/3125,9375,7072,1479,2303,7896,-1,1,True,True,False,False,2303,154/15,near_miss:(1-x)^2+y^2
