curve_label,delta,numerator,denominator,polynomial,denominator_square,known_basepoints,sage_status,rank_info
B_fiber,289/260,29*u,-130*(u - 1)*(u + 1),16900*u**4 - 32959*u**2 + 16900,16900*(u - 1)**2*(u + 1)**2,"u=3/5, W=85",Sage unavailable; rank/generator search skipped.,skipped
C_fiber,289/260,130*u**2 + 289*u - 130,260*u,16900*u**4 + 75140*u**3 + 117321*u**2 - 75140*u + 16900,67600*u**2,"u=3/5, W=901/5",Sage unavailable; rank/generator search skipped.,skipped
D_fiber,289/260,130*u**2 + 289*u - 130,29*u,2*(8450*u**4 + 37570*u**3 + 25281*u**2 - 37570*u + 8450),841*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,13/6,7*u,-3*(u - 1)*(u + 1),9*u**4 + 31*u**2 + 9,9*(u - 1)**2*(u + 1)**2,"u=1/4, W=53/16",Sage unavailable; rank/generator search skipped.,skipped
C_fiber,13/6,3*u**2 + 13*u - 3,6*u,9*u**4 + 78*u**3 + 187*u**2 - 78*u + 9,36*u**2,"u=1/4, W=25/16",Sage unavailable; rank/generator search skipped.,skipped
D_fiber,13/6,3*u**2 + 13*u - 3,7*u,9*u**4 + 78*u**3 + 200*u**2 - 78*u + 9,49*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,289/29,520*u,-29*(u - 1)*(u + 1),841*u**4 + 268718*u**2 + 841,841*(u - 1)**2*(u + 1)**2,"u=1/4, W=2125/16",Sage unavailable; rank/generator search skipped.,skipped
C_fiber,289/29,29*u**2 + 578*u - 29,58*u,841*u**4 + 33524*u**3 + 335766*u**2 - 33524*u + 841,3364*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,289/29,29*u**2 + 578*u - 29,520*u,841*u**4 + 33524*u**3 + 602802*u**2 - 33524*u + 841,270400*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,867/451,832*u,-451*(u - 1)*(u + 1),203401*u**4 + 285422*u**2 + 203401,203401*(u - 1)**2*(u + 1)**2,"u=3/5, W=14416/25",Sage unavailable; rank/generator search skipped.,skipped
