mode,A,C,B,D,D_in_S,defect_D,delta,N,p,q,x,y,v3_x,v3_yc,mcc_live,height,dist_A0,dist_C0
real_near,15/8,451/780,87/416,451/87,False,730,289/260,867,416,780,416/867,260/289,-1,1,True,780,0,0
mcc_priority,8/15,87/416,451/780,87/451,False,730,867/416,867,780,416,260/289,416/867,0,-1,True,780,161/120,2303/6240
mcc_priority,15/8,451/780,87/416,451/87,False,730,289/260,867,416,780,416/867,260/289,-1,1,True,780,0,0
mcc_priority,104/153,231/520,28/45,33/68,False,5713,249/130,996,765,520,255/332,130/249,1,-1,True,520,1463/1224,209/1560
mcc_priority,153/104,28/45,231/520,68/33,False,5713,332/255,996,520,765,130/249,255/332,-1,0,True,520,21/52,103/2340
mcc_priority,884/987,87/416,7/24,1479/2303,False,11986,9375/7072,9375,7896,7072,2632/3125,7072/9375,0,-1,True,2303,7733/7896,2303/6240
mcc_priority,987/884,7/24,87/416,2303/1479,False,11986,3125/2632,9375,7072,7896,7072/9375,2632/3125,-1,1,True,2303,1341/1768,149/520
mcc_priority,12/35,55/48,21/20,55/147,False,24634,65/16,195,140,48,28/39,16/65,-1,1,True,147,429/280,1771/3120
mcc_priority,35/12,21/20,55/48,147/55,False,24634,39/28,195,48,140,16/65,28/39,0,-1,True,147,25/24,92/195
mcc_priority,161/240,3/4,799/960,483/799,False,871690,1443/644,1443,960,644,320/481,644/1443,0,-1,True,960,289/240,67/390
mcc_priority,240/161,799/960,3/4,799/483,False,871690,481/320,1443,644,960,644/1443,320/481,-1,1,True,960,495/1288,1057/4160
mcc_priority,115/252,129/920,175/288,129/1225,False,1517266,429/184,2145,2016,920,672/715,184/429,1,-1,True,1225,715/504,3143/7176
mcc_priority,252/115,175/288,129/920,1225/129,False,1517266,715/672,2145,920,2016,184/429,672/715,-1,0,True,1225,291/920,551/18720
mcc_priority,280/759,231/520,7844/9867,1617/7844,False,2565721,2871/910,11484,9867,3640,299/348,910/2871,-1,-2,True,9867,9145/6072,209/1560
mcc_priority,403/396,315/572,9457/17424,1395/1351,False,3771226,27189/17732,27189,17424,17732,1936/3021,17732/27189,-1,-3,True,17424,679/792,59/2145
mcc_priority,700/429,369/800,415/3432,2583/415,False,6844114,1203/1120,6015,3432,5600,1144/2005,1120/1203,0,-1,True,3432,835/3432,3649/31200
mcc_priority,425/168,429/700,97/4704,7293/97,False,53197258,11997/11900,11997,4704,11900,1568/3999,11900/11997,-1,-2,True,7293,55/84,473/13650
mcc_priority,992/705,207/224,4408/4935,6417/4408,False,60608353,1419/868,11352,4935,6944,1645/3784,868/1419,0,-1,True,6417,2639/5640,15109/43680
