A,D,B,C,reciprocal_fake,degenerate_infinity,nondegenerate,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,notes
-924/43,-43/924,924/43,43/924,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-840/41,-41/840,840/41,41/840,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-760/39,-39/760,760/39,39/760,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-684/37,-37/684,684/37,37/684,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-612/35,-35/612,612/35,35/612,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-544/33,-33/544,544/33,33/544,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-480/31,-31/480,480/31,31/480,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-899/60,-60/899,899/60,60/899,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-420/29,-29/420,420/29,29/420,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-783/56,-56/783,783/56,56/783,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-364/27,-27/364,364/27,27/364,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-675/52,-52/675,675/52,52/675,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-312/25,-25/312,312/25,25/312,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-575/48,-48/575,575/48,48/575,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-264/23,-23/264,264/23,23/264,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-483/44,-44/483,483/44,44/483,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-220/21,-21/220,220/21,21/220,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-399/40,-40/399,399/40,40/399,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-180/19,-19/180,180/19,19/180,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-323/36,-36/323,323/36,36/323,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-144/17,-17/144,144/17,17/144,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-255/32,-32/255,255/32,32/255,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-957/124,-124/957,957/124,124/957,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-112/15,-15/112,112/15,15/112,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-837/116,-116/837,837/116,116/837,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-920/129,-129/920,920/129,129/920,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-195/28,-28/195,195/28,28/195,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-836/123,-123/836,836/123,123/836,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-725/108,-108/725,725/108,108/725,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-84/13,-13/84,84/13,13/84,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-621/100,-100/621,621/100,100/621,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-680/111,-111/680,680/111,111/680,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-143/24,-24/143,143/24,24/143,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-608/105,-105/608,608/105,105/608,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-525/92,-92/525,525/92,92/525,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-60/11,-11/60,60/11,11/60,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-437/84,-84/437,437/84,84/437,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-476/93,-93/476,476/93,93/476,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-99/20,-20/99,99/20,20/99,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-416/87,-87/416,416/87,87/416,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-357/76,-76/357,357/76,76/357,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-775/168,-168/775,775/168,168/775,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-40/9,-9/40,40/9,9/40,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-667/156,-156/667,667/156,156/667,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-912/215,-215/912,912/215,215/912,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-285/68,-68/285,285/68,68/285,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-308/75,-75/308,308/75,75/308,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-828/205,-205/828,828/205,205/828,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-63/16,-16/63,63/16,16/63,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-748/195,-195/748,748/195,195/748,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-945/248,-248/945,945/248,248/945,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-260/69,-69/260,260/69,69/260,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-221/60,-60/221,221/60,60/221,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-672/185,-185/672,672/185,185/672,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-475/132,-132/475,475/132,132/475,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-825/232,-232/825,825/232,232/825,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-24/7,-7/24,24/7,7/24,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-713/216,-216/713,713/216,216/713,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-391/120,-120/391,391/120,120/391,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
