category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
mcc_live_score,4/3,0,-1/3,0,10,1,10,False,True,True,True,1,4/3,3,3,4,0,-1,0,-1,True,True,False,False,4,451/87,13/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-4/3,0,7/3,0,58,1,58,False,True,True,True,1,-4/3,3,3,-4,0,7,0,-1,True,True,False,False,7,451/87,77/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-207/224,851/420,-15/8,37/9,1,58,58,True,False,True,True,-224/627,69/209,627,-224,207,851,420,-1,0,True,True,False,False,851,38461/12180,627/224,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,-224/207,420/851,37/9,-15/8,58,1,58,False,True,True,True,69/209,-224/627,627,207,-224,420,851,1,-1,True,True,False,False,851,347261/74037,4897/1656,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,851/420,-207/224,-8/15,9/37,1,58,58,True,False,True,True,140/209,851/627,627,420,851,207,-224,0,-1,True,True,False,False,851,119033/19488,127/840,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,420/851,-224/207,9/37,-8/15,58,1,58,False,True,True,True,851/627,140/209,627,851,420,-224,207,-1,0,True,True,False,False,851,37615/6003,9405/6808,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,325/228,0,-97/228,0,73,1,73,False,True,True,True,1,325/228,228,228,325,0,-97,0,-1,True,True,False,False,325,451/87,205/456,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-925/372,0,1297/372,0,97,1,97,False,True,True,True,1,-925/372,372,372,-925,0,1297,0,-1,True,True,False,False,1297,451/87,3245/744,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-35/12,63/16,-4/3,9/5,1,106,106,True,False,True,True,-4/17,35/51,51,-12,35,63,16,0,-1,True,True,False,False,63,1735/1392,115/24,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,-12/35,16/63,9/5,-4/3,106,1,106,False,True,True,True,35/51,-4/17,51,35,-12,16,63,-1,0,True,True,False,False,63,9007/1827,621/280,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,16/63,-12/35,5/9,-3/4,106,1,106,False,True,True,True,21/17,16/51,51,63,16,-12,35,1,-1,True,True,False,False,63,16829/3045,817/504,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,63/16,-35/12,-3/4,5/9,1,106,106,True,False,True,True,16/51,21/17,51,16,63,35,-12,-1,0,True,True,False,False,63,2819/348,33/16,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,8/15,12/5,-1/3,-3/2,10,13,130,False,False,False,True,5,8/3,3,15,8,-12,-5,0,-1,True,True,False,False,15,1211/435,161/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,5/12,15/8,-2/3,-3,13,10,130,False,False,False,True,-4,-5/3,3,-12,-5,15,8,0,-1,True,True,False,False,15,2303/696,35/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,12/5,8/15,-3,-2/3,10,13,130,False,False,False,True,-5/3,-4,3,-5,-12,8,15,-1,2,True,True,False,False,15,2023/435,21/40,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,15/8,5/12,-3/2,-1/3,13,10,130,False,False,False,True,8/3,5,3,8,15,-5,-12,-1,2,True,True,False,False,15,553/116,0,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,5/12,0,7/12,0,193,1,193,False,True,True,True,1,5/12,12,12,5,0,7,0,-1,True,True,False,False,12,451/87,35/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,352/135,0,-217/135,0,226,1,226,False,True,True,True,1,352/135,135,135,352,0,-217,0,-3,True,True,False,False,352,451/87,791/1080,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,8/15,0,7/15,0,274,1,274,False,True,True,True,1,8/15,15,15,8,0,7,0,-1,True,True,False,False,15,451/87,161/120,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-95/168,0,263/168,0,337,1,337,False,True,True,True,1,-95/168,168,168,-95,0,263,0,-1,True,True,False,False,263,451/87,205/84,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-4/3,12/5,-5/3,3,34,10,340,False,False,False,True,-1/3,4/9,9,-3,4,12,5,-1,-2,True,True,False,False,12,1211/435,77/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-3/4,5/12,3,-5/3,10,34,340,False,False,False,True,4/9,-1/3,9,4,-3,5,12,-2,-1,True,True,False,False,12,553/116,21/8,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,5/12,-3/4,1/3,-3/5,10,34,340,False,False,False,True,4/3,5/9,9,12,5,-3,4,-1,-2,True,True,False,False,12,2065/348,35/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,12/5,-4/3,-3/5,1/3,34,10,340,False,False,False,True,5/9,4/3,9,5,12,4,-3,-2,-1,True,True,False,False,12,189/29,21/40,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-84/13,112/15,-15/13,4/3,394,1,394,False,True,True,True,-13/99,28/33,99,-13,84,112,15,-2,-1,True,True,False,False,112,331/145,867/104,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-13/84,15/112,4/3,-15/13,1,394,394,True,False,True,True,28/33,-13/99,99,84,-13,15,112,-1,-2,True,True,False,False,112,49207/9744,341/168,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,15/112,-13/84,3/4,-13/15,1,394,394,True,False,True,True,112/99,5/33,99,112,15,-13,84,-2,-1,True,True,False,False,112,4335/812,195/112,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,112/15,-84/13,-13/15,3/4,394,1,394,False,True,True,True,5/33,112/99,99,15,112,84,-13,-1,-2,True,True,False,False,112,13171/1131,671/120,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-5/12,0,17/12,0,433,1,433,False,True,True,True,1,-5/12,12,12,-5,0,17,0,-1,True,True,False,False,17,451/87,55/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,20/21,0,1/21,0,442,1,442,False,True,True,True,1,20/21,21,21,20,0,1,0,-1,True,True,False,False,21,451/87,155/168,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-99/20,143/24,-6/5,13/9,61,10,610,False,False,False,True,-20/123,33/41,123,-20,99,143,24,-1,0,True,True,False,False,143,539/696,273/40,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-20/99,24/143,13/9,-6/5,10,61,610,False,False,False,True,33/41,-20/123,123,99,-20,24,143,1,-1,True,True,False,False,143,62405/12441,1645/792,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,24/143,-20/99,9/13,-5/6,10,61,610,False,False,False,True,143/123,8/41,123,143,24,-20,99,-1,0,True,True,False,False,143,15463/2871,1953/1144,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,143/24,-99/20,-5/6,9/13,61,10,610,False,False,False,True,8/41,143/123,123,24,143,99,-20,0,-1,True,True,False,False,143,17633/1740,49/12,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,35/12,0,-23/12,0,673,1,673,False,True,True,True,1,35/12,12,12,35,0,-23,0,-1,True,True,False,False,35,451/87,25/24,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,780/451,416/87,87/451,8/15,730,1,730,False,True,True,True,451/867,260/289,867,451,780,416,87,-1,1,True,True,False,True,780,35/87,525/3608,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,416/87,780/451,451/87,15/8,730,1,730,False,True,True,True,29/289,416/867,867,87,416,780,451,0,-1,True,True,False,True,780,135541/39237,2023/696,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,87/416,451/780,15/8,451/87,1,730,730,True,False,True,True,416/867,29/289,867,416,87,451,780,-1,1,True,True,False,True,780,34727/7540,693/416,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,451/780,87/416,8/15,87/451,1,730,730,True,False,True,True,260/289,451/867,867,780,451,87,416,0,-1,True,True,False,True,780,180047/36192,2023/1560,algebraic_but_failed:(1-x)^2+y^2
mcc_live_score,-8/15,0,23/15,0,754,1,754,False,True,True,True,1,-8/15,15,15,-8,0,23,0,-1,True,True,False,False,23,451/87,289/120,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,-15/8,35/12,-3/2,7/3,13,58,754,False,False,False,True,-8/27,5/9,27,-8,15,35,12,-3,-2,True,True,False,False,35,263/116,15/4,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,-8/15,12/35,7/3,-3/2,58,13,754,False,False,False,True,5/9,-8/27,27,15,-8,12,35,-2,-3,True,True,False,False,35,14741/3045,289/120,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,12/35,-8/15,3/7,-2/3,58,13,754,False,False,False,True,35/27,4/9,27,35,12,-8,15,-3,-2,True,True,False,False,35,829/145,429/280,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,35/12,-15/8,-2/3,3/7,13,58,754,False,False,False,True,4/9,35/27,27,12,35,15,-8,-2,-3,True,True,False,False,35,4913/696,25/24,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,7/24,0,17/24,0,865,1,865,False,True,True,True,1,7/24,24,24,7,0,17,0,-1,True,True,False,False,24,451/87,19/12,algebraic_but_failed:x^2+(1-y)^2
mcc_live_score,12/5,352/135,27/31,88/93,10,97,970,False,False,False,True,155/507,124/169,507,155,372,352,135,-1,0,True,True,False,True,352,10087/3915,21/40,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
mcc_live_score,352/135,12/5,31/27,93/88,10,97,970,False,False,False,True,45/169,352/507,507,135,352,372,155,2,-1,True,True,False,True,352,1211/435,791/1080,algebraic_but_failed:(1-x)^2+y^2;x^2+(1-y)^2
