category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,7/24,28/45,15/8,4,1,17,17,True,False,True,True,6/13,7/52,52,24,7,28,45,1,0,False,True,False,True,45,5953/1305,19/12,algebraic_but_failed:(1-x)^2+y^2
one_sided,28/45,7/24,8/15,1/4,1,17,17,True,False,True,True,45/52,7/13,52,45,28,7,24,2,0,False,True,False,True,45,1135/232,451/360,algebraic_but_failed:(1-x)^2+y^2
one_sided,-207/224,851/420,-15/8,37/9,1,58,58,True,False,True,True,-224/627,69/209,627,-224,207,851,420,-1,0,True,True,False,False,851,38461/12180,627/224,algebraic_but_failed:(1-x)^2+y^2
one_sided,851/420,-207/224,-8/15,9/37,1,58,58,True,False,True,True,140/209,851/627,627,420,851,207,-224,0,-1,True,True,False,False,851,119033/19488,127/840,algebraic_but_failed:(1-x)^2+y^2
one_sided,-35/12,63/16,-4/3,9/5,1,106,106,True,False,True,True,-4/17,35/51,51,-12,35,63,16,0,-1,True,True,False,False,63,1735/1392,115/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,63/16,-35/12,-3/4,5/9,1,106,106,True,False,True,True,16/51,21/17,51,16,63,35,-12,-1,0,True,True,False,False,63,2819/348,33/16,algebraic_but_failed:(1-x)^2+y^2
one_sided,-17/144,221/60,-5/12,13,1,170,170,True,False,True,True,-144/77,17/77,77,-144,17,221,60,2,0,False,True,False,False,221,2611/1740,287/144,algebraic_but_failed:(1-x)^2+y^2
one_sided,221/60,-17/144,-12/5,1/13,1,170,170,True,False,True,True,60/77,221/77,77,60,221,17,-144,1,0,False,True,False,False,221,22141/4176,217/120,algebraic_but_failed:(1-x)^2+y^2
one_sided,-13/84,15/112,4/3,-15/13,1,394,394,True,False,True,True,28/33,-13/99,99,84,-13,15,112,-1,-2,True,True,False,False,112,49207/9744,341/168,algebraic_but_failed:(1-x)^2+y^2
one_sided,15/112,-13/84,3/4,-13/15,1,394,394,True,False,True,True,112/99,5/33,99,112,15,-13,84,-2,-1,True,True,False,False,112,4335/812,195/112,algebraic_but_failed:(1-x)^2+y^2
one_sided,87/416,451/780,15/8,451/87,1,730,730,True,False,True,True,416/867,29/289,867,416,87,451,780,-1,1,True,True,False,True,780,34727/7540,693/416,algebraic_but_failed:(1-x)^2+y^2
one_sided,451/780,87/416,8/15,87/451,1,730,730,True,False,True,True,260/289,451/867,867,780,451,87,416,0,-1,True,True,False,True,780,180047/36192,2023/1560,algebraic_but_failed:(1-x)^2+y^2
one_sided,-51/140,527/336,-12/5,31/3,1,970,970,True,False,True,True,-140/387,17/129,387,-140,51,527,336,-2,-1,True,True,False,False,527,11743/3248,627/280,algebraic_but_failed:(1-x)^2+y^2
one_sided,527/336,-51/140,-5/12,3/31,1,970,970,True,False,True,True,112/129,527/387,387,336,527,51,-140,-1,-2,True,True,False,False,527,67577/12180,103/336,algebraic_but_failed:(1-x)^2+y^2
one_sided,-189/340,287/816,12/5,-41/27,1,2410,2410,True,False,True,False,340/627,-63/209,627,340,-189,287,816,-1,0,True,True,False,False,816,114349/23664,1653/680,algebraic_but_failed:(1-x)^2+y^2
one_sided,287/816,-189/340,5/12,-27/41,1,2410,2410,True,False,True,False,272/209,287/627,627,816,287,-189,340,0,-1,True,True,False,False,816,169783/29580,1243/816,algebraic_but_failed:(1-x)^2+y^2
one_sided,-39/80,-5/12,21/20,35/39,1,2746,2746,True,False,True,False,16/9,-13/15,45,80,-39,-35,84,-2,-1,True,True,False,False,80,1949/348,189/80,algebraic_but_failed:(1-x)^2+y^2
one_sided,-5/12,-39/80,20/21,39/35,1,2746,2746,True,False,True,False,28/15,-7/9,45,84,-35,-39,80,-1,-2,True,True,False,False,80,39473/6960,55/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,-20/99,7/24,56/33,-49/20,1,2801,2801,True,False,True,False,99/148,-5/37,148,99,-20,49,168,2,0,False,True,False,False,99,1135/232,1645/792,algebraic_but_failed:(1-x)^2+y^2
one_sided,7/24,-20/99,33/56,-20/49,1,2801,2801,True,False,True,False,42/37,49/148,148,168,49,-20,99,1,0,False,True,False,False,99,15463/2871,19/12,algebraic_but_failed:(1-x)^2+y^2
one_sided,448/975,21/20,-2108/195,-1581/64,1,2977,2977,True,False,True,False,-325/3364,-112/2523,10092,-975,-448,11067,10540,0,-1,True,True,False,False,2108,7193/1740,11041/7800,algebraic_but_failed:(1-x)^2+y^2
one_sided,21/20,448/975,-195/2108,-64/1581,1,2977,2977,True,False,True,False,2635/2523,3689/3364,10092,10540,11067,-448,-975,-1,2,True,True,False,False,2108,133583/28275,33/40,algebraic_but_failed:(1-x)^2+y^2
one_sided,104/153,253/204,-4/3,-253/104,1,2993,2993,True,False,True,False,-153/100,-26/25,100,-153,-104,253,204,2,0,False,True,False,False,253,7777/1972,1463/1224,algebraic_but_failed:(1-x)^2+y^2
one_sided,253/204,104/153,-3/4,-104/253,1,2993,2993,True,False,True,False,51/25,253/100,100,204,253,-104,-153,1,0,False,True,False,False,253,19985/4437,259/408,algebraic_but_failed:(1-x)^2+y^2
one_sided,799/960,561/400,-5/12,-33/47,1,3298,3298,True,False,True,False,320/133,799/399,399,960,799,-561,-400,0,-1,True,True,False,False,960,131593/34800,1001/960,algebraic_but_failed:(1-x)^2+y^2
one_sided,561/400,799/960,-12/5,-47/33,1,3298,3298,True,False,True,False,-400/399,-187/133,399,-400,-561,799,960,-1,1,True,True,False,False,960,40383/9280,189/400,algebraic_but_failed:(1-x)^2+y^2
