category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
top_score,3/4,4/3,-3/4,-4/3,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,4,335/87,9/8,degenerate_infinity
top_score,4/3,3/4,-4/3,-3/4,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,4,1543/348,13/24,degenerate_infinity
top_score,-4/3,-3/4,4/3,3/4,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,4,2065/348,77/24,degenerate_infinity
top_score,-3/4,-4/3,3/4,4/3,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,4,189/29,21/8,degenerate_infinity
top_score,5/12,12/5,-5/12,-12/5,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,12,1211/435,35/24,degenerate_infinity
top_score,12/5,5/12,-12/5,-5/12,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,12,553/116,21/40,degenerate_infinity
top_score,-12/5,-5/12,12/5,5/12,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,12,1949/348,171/40,degenerate_infinity
top_score,-5/12,-12/5,5/12,12/5,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,12,3299/435,55/24,degenerate_infinity
top_score,8/15,15/8,-8/15,-15/8,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,15,2303/696,161/120,degenerate_infinity
top_score,15/8,8/15,-15/8,-8/15,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,15,2023/435,0,degenerate_infinity
top_score,-15/8,-8/15,15/8,8/15,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,15,829/145,15/4,degenerate_infinity
top_score,-8/15,-15/8,8/15,15/8,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,15,4913/696,289/120,degenerate_infinity
top_score,20/21,21/20,-20/21,-21/20,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,21,7193/1740,155/168,degenerate_infinity
top_score,21/20,20/21,-21/20,-20/21,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,21,859/203,33/40,degenerate_infinity
top_score,-21/20,-20/21,21/20,20/21,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,21,3737/609,117/40,degenerate_infinity
top_score,-20/21,-21/20,20/21,21/20,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,21,10847/1740,475/168,degenerate_infinity
