A,C,B,D,D_in_S,defect_D,delta,N,p,q,x,y,v3_x,v3_yc,mcc_live,height
8/15,7/24,28/45,1/4,False,17,13/6,52,45,24,45/52,6/13,2,0,False,45
15/8,28/45,7/24,4,False,17,52/45,52,24,45,6/13,45/52,1,0,False,45
8/15,87/416,451/780,87/451,False,730,867/416,867,780,416,260/289,416/867,0,-1,True,780
15/8,451/780,87/416,451/87,False,730,289/260,867,416,780,416/867,260/289,-1,1,True,780
104/153,231/520,28/45,33/68,False,5713,249/130,996,765,520,255/332,130/249,1,-1,True,520
153/104,28/45,231/520,68/33,False,5713,332/255,996,520,765,130/249,255/332,-1,0,True,520
3/4,304/297,403/396,304/403,False,10193,700/297,700,396,297,99/175,297/700,2,0,False,403
4/3,403/396,304/297,403/304,False,10193,175/99,700,297,396,297/700,99/175,3,0,False,403
884/987,87/416,7/24,1479/2303,False,11986,9375/7072,9375,7896,7072,2632/3125,7072/9375,0,-1,True,2303
987/884,7/24,87/416,2303/1479,False,11986,3125/2632,9375,7072,7896,7072/9375,2632/3125,-1,1,True,2303
21/20,352/135,2419/900,2464/2419,False,14177,3364/945,3364,900,945,225/841,945/3364,2,0,False,2464
12/35,55/48,21/20,55/147,False,24634,65/16,195,140,48,28/39,16/65,-1,1,True,147
35/12,21/20,55/48,147/55,False,24634,39/28,195,48,140,16/65,28/39,0,-1,True,147
884/987,451/780,28/45,7667/9212,False,51137,5618/3315,22472,14805,13260,14805/22472,3315/5618,2,0,False,9212
987/884,28/45,451/780,9212/7667,False,51137,22472/14805,22472,13260,14805,3315/5618,14805/22472,1,0,False,9212
187/84,989/660,1519/720,16813/10633,False,235418,21853/11220,21853,5040,11220,5040/21853,11220/21853,2,0,False,16813
8/15,425/168,572/315,425/572,False,507809,185/42,740,315,168,63/148,42/185,2,0,False,572
15/8,572/315,425/168,572/425,False,507809,148/63,740,168,315,42/185,63/148,1,0,False,572
161/240,3/4,799/960,483/799,False,871690,1443/644,1443,960,644,320/481,644/1443,0,-1,True,960
240/161,799/960,3/4,799/483,False,871690,481/320,1443,644,960,644/1443,320/481,-1,1,True,960
115/252,129/920,175/288,129/1225,False,1517266,429/184,2145,2016,920,672/715,184/429,1,-1,True,1225
252/115,175/288,129/920,1225/129,False,1517266,715/672,2145,920,2016,184/429,672/715,-1,0,True,1225
280/759,231/520,7844/9867,1617/7844,False,2565721,2871/910,11484,9867,3640,299/348,910/2871,-1,-2,True,9867
403/396,315/572,9457/17424,1395/1351,False,3771226,27189/17732,27189,17424,17732,1936/3021,17732/27189,-1,-3,True,17424
700/429,369/800,415/3432,2583/415,False,6844114,1203/1120,6015,3432,5600,1144/2005,1120/1203,0,-1,True,3432
425/168,429/700,97/4704,7293/97,False,53197258,11997/11900,11997,4704,11900,1568/3999,11900/11997,-1,-2,True,7293
357/76,304/297,8357/7524,36176/8357,False,55141697,43700/35343,43700,7524,35343,99/575,35343/43700,2,0,False,36176
992/705,207/224,4408/4935,6417/4408,False,60608353,1419/868,11352,4935,6944,1645/3784,868/1419,0,-1,True,6417
51/140,595/468,23999/21840,10115/23999,False,678265226,31955/7956,31955,21840,7956,624/913,7956/31955,1,0,False,23999
